,Reporter country,Partner country,FLOW,Value,PeopleTrust,FamilyTrust,NeighborTrust,PersonalTrust,OtherCountryTrust,GDP,Country Trade Percent of GDP,English Rate,Bilateral Trust,Net FDI,Net FDI % GDP,Portfolio equity,PartnerGDP,Distance,Capital City,Law Origins,Rel_sim
82,Czech Republic,Finland,EXP,771275169,,,,,,205522871251.355,0.003752746175177401,0.76,,7358,3.5,106,2.70673584162e+11,810.0,Helsinki,0.0,0.102921063395
83,Czech Republic,Finland,EXP,771275169,,,,,,205522871251.355,0.003752746175177401,0.76,,7358,3.5,106,2.70673584162e+11,810.0,Helsinki,0.0,0.102921063395
84,Czech Republic,France,EXP,7950081108,,,,,,205522871251.355,0.038682220910961435,0.76,,7358,3.5,106,2.82919203917e+12,549.0,Paris,0.0,0.39263582996
85,Czech Republic,France,EXP,7950081108,,,,,,205522871251.355,0.038682220910961435,0.76,,7358,3.5,106,2.82919203917e+12,549.0,Paris,0.0,0.39263582996
86,Czech Republic,Germany,EXP,49888411717,,,,,,205522871251.355,0.2427389779699328,0.76,,7358,3.5,106,3.85255616966e+12,175.0,Berlin,1.0,0.312400391389
87,Czech Republic,Germany,EXP,49888411717,,,,,,205522871251.355,0.2427389779699328,0.76,,7358,3.5,106,3.85255616966e+12,175.0,Berlin,1.0,0.312400391389
88,Czech Republic,Greece,EXP,278278560,,,,,,205522871251.355,0.0013540028820425761,0.76,,7358,3.5,106,2.37592274371e+11,954.0,Athens,1.0,0.0
89,Czech Republic,Greece,EXP,278278560,,,,,,205522871251.355,0.0013540028820425761,0.76,,7358,3.5,106,2.37592274371e+11,954.0,Athens,1.0,0.0
90,Czech Republic,Hungary,EXP,4147589321,,,,,,205522871251.355,0.02018067038352869,0.76,,7358,3.5,106,1.37103927313e+11,275.0,Budapest,0.0,0.2887144641
91,Czech Republic,Hungary,EXP,4147589321,,,,,,205522871251.355,0.02018067038352869,0.76,,7358,3.5,106,1.37103927313e+11,275.0,Budapest,0.0,0.2887144641
92,Czech Republic,Ireland,EXP,465288613,,,,,,205522871251.355,0.002263926200364099,0.76,,7358,3.5,106,2.45920712756e+11,912.0,Dublin,0.0,0.201572
93,Czech Republic,Ireland,EXP,465288613,,,,,,205522871251.355,0.002263926200364099,0.76,,7358,3.5,106,2.45920712756e+11,912.0,Dublin,0.0,0.201572
94,Czech Republic,Italy,EXP,5683955040,,,,,,205522871251.355,0.027656070613418533,0.76,,7358,3.5,106,2.14433818506e+12,573.0,Rome,0.0,0.240223343225
95,Czech Republic,Italy,EXP,5683955040,,,,,,205522871251.355,0.027656070613418533,0.76,,7358,3.5,106,2.14433818506e+12,573.0,Rome,0.0,0.240223343225
96,Czech Republic,Luxembourg,EXP,164063344,,,,,,205522871251.355,0.0007982729270035844,0.76,,7358,3.5,106,60130847623.6,372.0,Luxembourg,0.0,0.2863382
97,Czech Republic,Luxembourg,EXP,164063344,,,,,,205522871251.355,0.0007982729270035844,0.76,,7358,3.5,106,60130847623.6,372.0,Luxembourg,0.0,0.2863382
98,Czech Republic,Netherlands,EXP,4485783808,,,,,,205522871251.355,0.021826202508205887,0.76,,7358,3.5,106,8.6950812548e+11,442.0,Amsterdam,0.0,0.329001535088
99,Czech Republic,Netherlands,EXP,4485783808,,,,,,205522871251.355,0.021826202508205887,0.76,,7358,3.5,106,8.6950812548e+11,442.0,Amsterdam,0.0,0.329001535088
100,Czech Republic,Poland,EXP,9407322273,,,,,,205522871251.355,0.04577262966268518,0.76,,7358,3.5,106,5.48003360279e+11,322.0,Warsaw,1.0,0.192244734203
101,Czech Republic,Poland,EXP,9407322273,,,,,,205522871251.355,0.04577262966268518,0.76,,7358,3.5,106,5.48003360279e+11,322.0,Warsaw,1.0,0.192244734203
102,Czech Republic,Portugal,EXP,455003874,,,,,,205522871251.355,0.0022138843780725947,0.76,,7358,3.5,106,2.2958371149e+11,1396.0,Lisbon,1.0,0.1961176
103,Czech Republic,Portugal,EXP,455003874,,,,,,205522871251.355,0.0022138843780725947,0.76,,7358,3.5,106,2.2958371149e+11,1396.0,Lisbon,1.0,0.1961176
104,Czech Republic,Spain,EXP,3449189264,,,,,,205522871251.355,0.016782508160766364,0.76,,7358,3.5,106,1.40430653606e+12,1103.0,Madrid,0.0,0.267397464074
105,Czech Republic,Spain,EXP,3449189264,,,,,,205522871251.355,0.016782508160766364,0.76,,7358,3.5,106,1.40430653606e+12,1103.0,Madrid,0.0,0.267397464074
106,Czech Republic,Sweden,EXP,2413822346,,,,,,205522871251.355,0.01174478699768596,0.76,,7358,3.5,106,5.7059126616e+11,656.0,Stockholm,0.0,0.177076955162
107,Czech Republic,Sweden,EXP,2413822346,,,,,,205522871251.355,0.01174478699768596,0.76,,7358,3.5,106,5.7059126616e+11,656.0,Stockholm,0.0,0.177076955162
108,Czech Republic,United Kingdom,EXP,7777214215,,,,,,205522871251.355,0.037841113096792264,0.76,,7358,3.5,106,2.94188553746e+12,643.0,London,0.0,0.338337636544
109,Czech Republic,United Kingdom,EXP,7777214215,,,,,,205522871251.355,0.037841113096792264,0.76,,7358,3.5,106,2.94188553746e+12,643.0,London,0.0,0.338337636544
110,Czech Republic,Estonia,EXP,258745624,,,,,,205522871251.355,0.0012589626761468967,0.76,,7358,3.5,106,25904874312.3,765.0,Tallinn,0.0,0.33989196
111,Czech Republic,Estonia,EXP,258745624,,,,,,205522871251.355,0.0012589626761468967,0.76,,7358,3.5,106,25904874312.3,765.0,Tallinn,0.0,0.33989196
112,Czech Republic,Slovenia,EXP,676097089,,,,,,205522871251.355,0.003289644042453706,0.76,,7358,3.5,106,49416055609.2,278.0,Ljubljana,1.0,0.297077788746
113,Czech Republic,Slovenia,EXP,676097089,,,,,,205522871251.355,0.003289644042453706,0.76,,7358,3.5,106,49416055609.2,278.0,Ljubljana,1.0,0.297077788746
114,Denmark,Austria,EXP,739177166,,,,,,341951607730.409,0.002161642610502827,0.81,0.797586552065,-862,-0.3,6882,4.36343622435e+11,541.0,Vienna,0.0,0.0344
115,Denmark,Austria,EXP,739177166,,,,,,341951607730.409,0.002161642610502827,0.81,0.797586552065,-862,-0.3,6882,4.36343622435e+11,541.0,Vienna,0.0,0.0344
116,Denmark,Belgium,EXP,1805751114,,,,,,341951607730.409,0.005280721228319637,0.81,0.645556777936,-862,-0.3,6882,5.33382785676e+11,476.0,Brussels,0.0,0.058
117,Denmark,Belgium,EXP,1805751114,,,,,,341951607730.409,0.005280721228319637,0.81,0.645556777936,-862,-0.3,6882,5.33382785676e+11,476.0,Brussels,0.0,0.058
118,Denmark,Czech Republic,EXP,1012294292,,,,,,341951607730.409,0.002960343712722304,0.81,0.451760266147,-862,-0.3,6882,2.05522871251e+11,395.0,Prague,0.0,0.01312
119,Denmark,Czech Republic,EXP,1012294292,,,,,,341951607730.409,0.002960343712722304,0.81,0.451760266147,-862,-0.3,6882,2.05522871251e+11,395.0,Prague,0.0,0.01312
120,Denmark,Finland,EXP,3252051096,,,,,,341951607730.409,0.009510267015805004,0.81,0.788218719795,-862,-0.3,6882,2.70673584162e+11,549.0,Helsinki,1.0,0.669979550102
121,Denmark,Finland,EXP,3252051096,,,,,,341951607730.409,0.009510267015805004,0.81,0.788218719795,-862,-0.3,6882,2.70673584162e+11,549.0,Helsinki,1.0,0.669979550102
122,Denmark,France,EXP,3940475836,,,,,,341951607730.409,0.011523489718775147,0.81,0.4844910043,-862,-0.3,6882,2.82919203917e+12,639.0,Paris,0.0,0.018987854251
123,Denmark,France,EXP,3940475836,,,,,,341951607730.409,0.011523489718775147,0.81,0.4844910043,-862,-0.3,6882,2.82919203917e+12,639.0,Paris,0.0,0.018987854251
124,Denmark,Germany,EXP,18310837920,,,,,,341951607730.409,0.053548038687497766,0.81,0.642470469608,-862,-0.3,6882,3.85255616966e+12,221.0,Berlin,0.0,0.267651663405
125,Denmark,Germany,EXP,18310837920,,,,,,341951607730.409,0.053548038687497766,0.81,0.642470469608,-862,-0.3,6882,3.85255616966e+12,221.0,Berlin,0.0,0.267651663405
126,Denmark,Greece,EXP,504720910,,,,,,341951607730.409,0.0014760009854900772,0.81,0.390436750219,-862,-0.3,6882,2.37592274371e+11,1329.0,Athens,0.0,0.00052
127,Denmark,Greece,EXP,504720910,,,,,,341951607730.409,0.0014760009854900772,0.81,0.390436750219,-862,-0.3,6882,2.37592274371e+11,1329.0,Athens,0.0,0.00052
128,Denmark,Hungary,EXP,636478095,,,,,,341951607730.409,0.0018613104328545592,0.81,0.464661003094,-862,-0.3,6882,1.37103927313e+11,630.0,Budapest,0.0,0.145681581686
129,Denmark,Hungary,EXP,636478095,,,,,,341951607730.409,0.0018613104328545592,0.81,0.464661003094,-862,-0.3,6882,1.37103927313e+11,630.0,Budapest,0.0,0.145681581686
130,Denmark,Ireland,EXP,948971083,,,,,,341951607730.409,0.002775161928023917,0.81,0.66418105233,-862,-0.3,6882,2.45920712756e+11,770.0,Dublin,0.0,0.0136
131,Denmark,Ireland,EXP,948971083,,,,,,341951607730.409,0.002775161928023917,0.81,0.66418105233,-862,-0.3,6882,2.45920712756e+11,770.0,Dublin,0.0,0.0136
132,Denmark,Italy,EXP,2768054932,,,,,,341951607730.409,0.008094873278625743,0.81,0.387587960981,-862,-0.3,6882,2.14433818506e+12,953.0,Rome,0.0,0.0
133,Denmark,Italy,EXP,2768054932,,,,,,341951607730.409,0.008094873278625743,0.81,0.387587960981,-862,-0.3,6882,2.14433818506e+12,953.0,Rome,0.0,0.0
134,Denmark,Luxembourg,EXP,58021686,,,,,,341951607730.409,0.00016967806171493038,0.81,0.742644628552,-862,-0.3,6882,60130847623.6,498.0,Luxembourg,0.0,0.0144
135,Denmark,Luxembourg,EXP,58021686,,,,,,341951607730.409,0.00016967806171493038,0.81,0.742644628552,-862,-0.3,6882,60130847623.6,498.0,Luxembourg,0.0,0.0144
136,Denmark,Netherlands,EXP,5054593430,,,,,,341951607730.409,0.014781604518686714,0.81,0.847651903204,-862,-0.3,6882,8.6950812548e+11,386.0,Amsterdam,0.0,0.110263157895
137,Denmark,Netherlands,EXP,5054593430,,,,,,341951607730.409,0.014781604518686714,0.81,0.847651903204,-862,-0.3,6882,8.6950812548e+11,386.0,Amsterdam,0.0,0.110263157895
138,Denmark,Poland,EXP,2769619162,,,,,,341951607730.409,0.008099447697826116,0.81,0.445046291181,-862,-0.3,6882,5.48003360279e+11,418.0,Warsaw,0.0,0.00641925777332
139,Denmark,Poland,EXP,2769619162,,,,,,341951607730.409,0.008099447697826116,0.81,0.445046291181,-862,-0.3,6882,5.48003360279e+11,418.0,Warsaw,0.0,0.00641925777332
140,Denmark,Portugal,EXP,376636508,,,,,,341951607730.409,0.0011014321894837712,0.81,0.493506183801,-862,-0.3,6882,2.2958371149e+11,1541.0,Lisbon,0.0,0.0264
141,Denmark,Portugal,EXP,376636508,,,,,,341951607730.409,0.0011014321894837712,0.81,0.493506183801,-862,-0.3,6882,2.2958371149e+11,1541.0,Lisbon,0.0,0.0264
